date,aqi
1982-10-18,110
1982-10-25,107
1982-11-01,118
1982-11-08,108
1982-11-15,121
1982-11-22,119
1982-11-29,117
1982-12-06,120
1982-12-13,126
1982-12-20,116
1982-12-27,120
1982-01-01,121
1983-01-03,118
1983-01-10,116
1983-01-17,119
1983-01-24,107
1983-01-31,110
1983-02-07,107
1983-02-14,97
1983-02-21,95
1983-02-28,80
1983-03-07,71
1983-03-14,79
1983-03-21,73
1983-03-28,69
1983-04-04,57
1983-04-11,51
1983-04-18,46
1983-04-25,36
1983-05-02,40
1983-05-09,31
1983-05-16,29
1983-05-23,20
1983-05-30,28
1983-06-06,30
1983-06-13,33
1983-06-20,27
1983-06-27,23
1983-07-04,33
1983-07-11,35
1983-07-18,36
1983-07-25,39
1983-08-01,48
1983-08-08,51
1983-08-15,61
1983-08-22,68
1983-08-29,81
1983-09-05,83
1983-09-12,78
1983-09-19,79
1983-09-26,93
1983-10-03,110
1983-10-10,102
1983-10-17,109
1983-10-24,111
1983-10-31,116
1983-11-07,115
1983-11-14,126
1983-11-21,128
1983-11-28,131
1983-12-05,124
1983-12-12,117
1983-12-19,129
1983-01-01,130
1984-01-02,115
1984-01-09,118
1984-01-16,116
1984-01-23,119
1984-01-30,109
1984-02-06,102
1984-02-13,100
1984-02-20,97
1984-02-27,88
1984-03-05,84
1984-03-12,80
1984-03-19,73
1984-03-26,63
1984-04-02,69
1984-04-09,60
1984-04-16,40
1984-04-23,43
1984-04-30,34
1984-05-07,37
1984-05-14,25
1984-05-21,30
1984-05-28,33
1984-06-04,35
1984-06-11,29
1984-06-18,29
1984-06-25,31
1984-07-02,32
1984-07-09,45
1984-07-16,42
1984-07-23,34
1984-07-30,57
1984-08-06,61
1984-08-13,48
1984-08-20,67
1984-08-27,69
1984-09-03,80
1984-09-10,82
1984-09-17,76
1984-09-24,93
1984-10-01,95
1984-10-08,113
1984-10-15,114
1984-10-22,114
1984-10-29,118
1984-11-05,121
1984-11-12,125
1984-11-19,128
1984-11-26,124
1984-12-03,128
1984-12-10,129
1984-12-17,130
1984-01-01,117
1985-01-01,121
1985-01-07,132
1985-01-14,123
1985-01-21,120
1985-01-28,108
1985-02-04,104
1985-02-11,102
1985-02-18,96
1985-02-25,90
1985-03-04,86
1985-03-11,73
1985-03-18,80
1985-03-25,69
1985-04-01,59
1985-04-08,48
1985-04-15,47
1985-04-22,47
1985-04-29,44
1985-05-06,40
1985-05-13,34
1985-05-20,28
1985-05-27,30
1985-06-03,43
1985-06-10,42
1985-06-17,28
1985-06-24,38
1985-07-01,47
1985-07-08,42
1985-07-15,36
1985-07-22,40
1985-07-29,48
1985-08-05,62
1985-08-12,56
1985-08-19,66
1985-08-26,73
1985-09-02,74
1985-09-09,68
1985-09-16,92
1985-09-23,94
1985-09-30,91
1985-10-07,102
1985-10-14,105
1985-10-21,100
1985-10-28,114
1985-11-04,130
1985-11-11,123
1985-11-18,124
1985-11-25,121
1985-12-02,136
1985-12-09,138
1985-12-16,129
1985-12-23,133
1986-01-01,130
1986-01-06,132
1986-01-13,126
1986-01-20,115
1986-01-27,114
1986-02-03,116
1986-02-10,116
1986-02-17,98
1986-02-24,99
1986-03-03,95
1986-03-10,84
1986-03-17,75
1986-03-24,71
1986-03-31,58
1986-04-07,58
1986-04-14,58
1986-04-21,48
1986-04-28,46
1986-05-05,37
1986-05-12,27
1986-05-19,28
1986-05-26,47
1986-06-02,29
1986-06-09,30
1986-06-16,30
1986-06-23,32
1986-06-30,42
1986-07-07,45
1986-07-14,49
1986-07-21,58
1986-07-28,48
1986-08-04,57
1986-08-11,66
1986-08-18,64
1986-08-25,70
1986-09-01,88
1986-09-08,86
1986-09-15,87
1986-09-22,90
1986-09-29,100
1986-10-06,108
1986-10-13,119
1986-10-20,116
1986-10-27,117
1986-11-03,133
1986-11-10,123
1986-11-17,136
1986-11-24,137
1986-12-01,138
1986-12-08,125
1986-12-15,138
1986-12-22,127
1987-01-01,137
1987-01-05,131
1987-01-12,128
1987-01-19,132
1987-01-26,120
1987-02-02,117
1987-02-09,105
1987-02-16,95
1987-02-23,94
1987-03-02,88
1987-03-09,85
1987-03-16,79
1987-03-23,80
1987-03-30,68
1987-04-06,64
1987-04-13,66
1987-04-20,51
1987-04-27,45
1987-05-04,37
1987-05-11,48
1987-05-18,41
1987-05-25,38
1987-06-01,31
1987-06-08,34
1987-06-15,45
1987-06-22,29
1987-06-29,48
1987-07-06,43
1987-07-13,30
1987-07-20,41
1987-07-27,51
1987-08-03,63
1987-08-10,66
1987-08-17,72
1987-08-24,72
1987-08-31,75
1987-09-07,85
1987-09-14,97
1987-09-21,96
1987-09-28,113
1987-10-05,100
1987-10-12,114
1987-10-19,121
1987-10-26,119
1987-11-02,123
1987-11-09,118
1987-11-16,136
1987-11-23,136
1987-11-30,131
1987-12-07,136
1987-12-14,140
1987-12-21,135
1987-12-28,142
1988-01-04,132
1988-01-11,131
1988-01-18,123
1988-01-25,121
1988-02-01,121
1988-02-08,127
1988-02-15,101
1988-02-22,105
1988-02-29,92
1988-03-07,92
1988-03-14,90
1988-03-21,84
1988-03-28,80
1988-04-04,66
1988-04-11,59
1988-04-18,65
1988-04-25,46
1988-05-02,45
1988-05-09,35
1988-05-16,50
1988-05-23,40
1988-05-30,40
1988-06-06,39
1988-06-13,33
1988-06-20,39
1988-06-27,34
1988-07-04,38
1988-07-11,37
1988-07-18,52
1988-07-25,47
1988-08-01,66
1988-08-08,65
1988-08-15,57
1988-08-22,71
1988-08-29,88
1988-09-05,79
1988-09-12,93
1988-09-19,101
1988-09-26,113
1988-10-03,101
1988-10-10,121
1988-10-17,121
1988-10-24,127
1988-10-31,128
1988-11-07,132
1988-11-14,125
1988-11-21,124
1988-11-28,138
1988-12-05,132
1988-12-12,142
1988-12-19,131
1988-12-26,137
1988-01-01,130
1989-01-02,138
1989-01-09,129
1989-01-16,128
1989-01-23,121
1989-01-30,126
1989-02-06,134
1989-02-13,112
1989-02-20,101
1989-02-27,89
1989-03-06,95
1989-03-13,83
1989-03-20,88
1989-03-27,71
1989-04-03,76
1989-04-10,59
1989-04-17,54
1989-04-24,51
1989-05-01,55
1989-05-08,55
1989-05-15,43
1989-05-22,35
1989-05-29,34
1989-06-05,36
1989-06-12,46
1989-06-19,41
1989-06-26,35
1989-07-03,39
1989-07-10,50
1989-07-17,44
1989-07-24,63
1989-07-31,54
1989-08-07,61
1989-08-14,69
1989-08-21,77
1989-08-28,73
1989-09-04,91
1989-09-11,93
1989-09-18,100
1989-09-25,108
1989-10-02,112
1989-10-09,117
1989-10-16,113
1989-10-23,122
1989-10-30,139
1989-11-06,132
1989-11-13,136
1989-11-20,133
1989-11-27,145
1989-12-04,131
1989-12-11,135
1989-12-18,132
1989-01-01,140
1990-01-01,133
1990-01-08,133
1990-01-15,131
1990-01-22,119
1990-01-29,126
1990-02-05,121
1990-02-12,112
1990-02-19,109
1990-02-26,105
1990-03-05,90
1990-03-12,91
1990-03-19,81
1990-03-26,82
1990-04-02,72
1990-04-09,66
1990-04-16,69
1990-04-23,50
1990-04-30,58
1990-05-07,43
1990-05-14,45
1990-05-21,44
1990-05-28,43
1990-06-04,35
1990-06-11,40
1990-06-18,35
1990-06-25,53
1990-07-02,50
1990-07-09,58
1990-07-16,55
1990-07-23,61
1990-07-30,63
1990-08-06,71
1990-08-13,74
1990-08-20,77
1990-08-27,79
1990-09-03,83
1990-09-10,76
1990-09-17,96
1990-09-24,108
1990-10-01,123
1990-10-08,113
1990-10-15,117
1990-10-22,120
1990-10-29,135
1990-11-05,133
1990-11-12,140
1990-11-19,137
1990-11-26,136
1990-12-03,138
1990-12-10,136
1990-12-17,137
1990-12-24,145
1991-01-01,139
1991-01-07,134
1991-01-14,133
1991-01-21,144
1991-01-28,124
1991-02-04,117
1991-02-11,111
1991-02-18,117
1991-02-25,102
1991-03-04,98
1991-03-11,88
1991-03-18,85
1991-03-25,79
1991-04-01,72
1991-04-08,68
1991-04-15,65
1991-04-22,61
1991-04-29,58
1991-05-06,62
1991-05-13,52
1991-05-20,50
1991-05-27,43
1991-06-03,44
1991-06-10,51
1991-06-17,47
1991-06-24,50
1991-07-01,48
1991-07-08,56
1991-07-15,55
1991-07-22,56
1991-07-29,68
1991-08-05,66
1991-08-12,65
1991-08-19,81
1991-08-26,79
1991-09-02,94
1991-09-09,111
1991-09-16,110
1991-09-23,99
1991-09-30,116
1991-10-07,124
1991-10-14,126
1991-10-21,127
1991-10-28,135
1991-11-04,132
1991-11-11,133
1991-11-18,138
1991-11-25,144
1991-12-02,137
1991-12-09,149
1991-12-16,147
1991-12-23,146
1992-01-01,153
1992-01-06,140
1992-01-13,137
1992-01-20,125
1992-01-27,137
1992-02-03,123
1992-02-10,111
1992-02-17,118
1992-02-24,103
1992-03-02,103
1992-03-09,90
1992-03-16,86
1992-03-23,91
1992-03-30,81
1992-04-06,70
1992-04-13,68
1992-04-20,67
1992-04-27,57
1992-05-04,51
1992-05-11,55
1992-05-18,38
1992-05-25,43
1992-06-01,63
1992-06-08,44
1992-06-15,47
1992-06-22,43
1992-06-29,61
1992-07-06,57
1992-07-13,59
1992-07-20,64
1992-07-27,58
1992-08-03,72
1992-08-10,77
1992-08-17,77
1992-08-24,81
1992-08-31,84
1992-09-07,100
1992-09-14,115
1992-09-21,106
1992-09-28,108
1992-10-05,112
1992-10-12,123
1992-10-19,135
1992-10-26,126
1992-11-02,146
1992-11-09,144
1992-11-16,145
1992-11-23,149
1992-11-30,143
1992-12-07,150
1992-12-14,144
1992-12-21,146
1992-12-28,142
1993-01-04,147
1993-01-11,136
1993-01-18,133
1993-01-25,129
1993-02-01,139
1993-02-08,121
1993-02-15,115
1993-02-22,120
1993-03-01,106
1993-03-08,114
1993-03-15,92
1993-03-22,81
1993-03-29,91
1993-04-05,82
1993-04-12,66
1993-04-19,62
1993-04-26,62
1993-05-03,63
1993-05-10,48
1993-05-17,52
1993-05-24,51
1993-05-31,60
1993-06-07,51
1993-06-14,44
1993-06-21,56
1993-06-28,53
1993-07-05,63
1993-07-12,55
1993-07-19,59
1993-07-26,64
1993-08-02,70
1993-08-09,72
1993-08-16,80
1993-08-23,88
1993-08-30,82
1993-09-06,92
1993-09-13,103
1993-09-20,115
1993-09-27,118
1993-10-04,118
1993-10-11,128
1993-10-18,126
1993-10-25,137
1993-11-01,143
1993-11-08,139
1993-11-15,146
1993-11-22,156
1993-11-29,158
1993-12-06,139
1993-12-13,154
1993-12-20,157
1993-12-27,152
1993-01-01,136
1994-01-03,152
1994-01-10,149
1994-01-17,146
1994-01-24,132
1994-01-31,133
1994-02-07,118
1994-02-14,121
1994-02-21,109
1994-02-28,109
1994-03-07,114
1994-03-14,101
1994-03-21,84
1994-03-28,89
1994-04-04,78
1994-04-11,65
1994-04-18,66
1994-04-25,70
1994-05-02,63
1994-05-09,59
1994-05-16,52
1994-05-23,57
1994-05-30,46
1994-06-06,57
1994-06-13,48
1994-06-20,46
1994-06-27,67
1994-07-04,49
1994-07-11,59
1994-07-18,59
1994-07-25,73
1994-08-01,69
1994-08-08,72
1994-08-15,79
1994-08-22,80
1994-08-29,99
1994-09-05,97
1994-09-12,93
1994-09-19,107
1994-09-26,111
1994-10-03,122
1994-10-10,123
1994-10-17,132
1994-10-24,143
1994-10-31,146
1994-11-07,137
1994-11-14,138
1994-11-21,145
1994-11-28,142
1994-12-05,148
1994-12-12,140
1994-12-19,141
1994-01-01,147
1995-01-02,144
1995-01-09,141
1995-01-16,143
1995-01-23,131
1995-01-30,134
1995-02-06,131
1995-02-13,123
1995-02-20,117
1995-02-27,105
1995-03-06,109
1995-03-13,96
1995-03-20,87
1995-03-27,82
1995-04-03,80
1995-04-10,70
1995-04-17,64
1995-04-24,64
1995-05-01,63
1995-05-08,65
1995-05-15,63
1995-05-22,57
1995-05-29,46
1995-06-05,59
1995-06-12,53
1995-06-19,54
1995-06-26,55
1995-07-03,54
1995-07-10,55
1995-07-17,64
1995-07-24,61
1995-07-31,64
1995-08-07,87
1995-08-14,85
1995-08-21,90
1995-08-28,100
1995-09-04,102
1995-09-11,114
1995-09-18,109
1995-09-25,114
1995-10-02,127
1995-10-09,132
1995-10-16,144
1995-10-23,140
1995-10-30,150
1995-11-06,160
1995-11-13,144
1995-11-20,150
1995-11-27,151
1995-12-04,150
1995-12-11,145
1995-12-18,154
1995-01-01,152
1996-01-01,144
1996-01-08,144
1996-01-15,140
1996-01-22,129
1996-01-29,132
1996-02-05,127
1996-02-12,129
1996-02-19,126
1996-02-26,120
1996-03-04,106
1996-03-11,109
1996-03-18,88
1996-03-25,91
1996-04-01,86
1996-04-08,78
1996-04-15,78
1996-04-22,64
1996-04-29,62
1996-05-06,67
1996-05-13,66
1996-05-20,59
1996-05-27,64
1996-06-03,55
1996-06-10,53
1996-06-17,57
1996-06-24,54
1996-07-01,54
1996-07-08,67
1996-07-15,72
1996-07-22,75
1996-07-29,77
1996-08-05,79
1996-08-12,94
1996-08-19,94
1996-08-26,94
1996-09-02,106
1996-09-09,102
1996-09-16,123
1996-09-23,120
1996-09-30,117
1996-10-07,134
1996-10-14,122
1996-10-21,148
1996-10-28,138
1996-11-04,143
1996-11-11,148
1996-11-18,164
1996-11-25,152
1996-12-02,154
1996-12-09,158
1996-12-16,165
1996-12-23,152
1997-01-01,158
1997-01-06,149
1997-01-13,145
1997-01-20,146
1997-01-27,140
1997-02-03,131
1997-02-10,129
1997-02-17,120
1997-02-24,117
1997-03-03,104
1997-03-10,111
1997-03-17,104
1997-03-24,90
1997-03-31,87
1997-04-07,90
1997-04-14,72
1997-04-21,64
1997-04-28,73
1997-05-05,63
1997-05-12,66
1997-05-19,54
1997-05-26,67
1997-06-02,65
1997-06-09,55
1997-06-16,54
1997-06-23,68
1997-06-30,60
1997-07-07,54
1997-07-14,76
1997-07-21,74
1997-07-28,71
1997-08-04,77
1997-08-11,85
1997-08-18,89
1997-08-25,98
1997-09-01,105
1997-09-08,110
1997-09-15,105
1997-09-22,120
1997-09-29,129
1997-10-06,136
1997-10-13,139
1997-10-20,140
1997-10-27,139
1997-11-03,151
1997-11-10,158
1997-11-17,150
1997-11-24,155
1997-12-01,156
1997-12-08,169
1997-12-15,153
1997-12-22,156
1998-01-01,160
1998-01-05,149
1998-01-12,150
1998-01-19,149
198
1998-01-26,142
1998-02-02,133
1998-02-09,140
1998-02-16,135
1998-02-23,126
1998-03-02,123
1998-03-09,119
1998-03-16,109
1998-03-23,100
1998-03-30,104
1998-04-06,85
1998-04-13,94
1998-04-20,78
1998-04-27,72
1998-05-04,68
1998-05-11,74
1998-05-18,74
1998-05-25,60
1998-06-01,53
1998-06-08,57
1998-06-15,49
1998-06-22,60
1998-06-29,53
1998-07-06,64
1998-07-13,62
1998-07-20,74
1998-07-27,77
1998-08-03,85
1998-08-10,88
1998-08-17,93
1998-08-24,94
1998-08-31,100
1998-09-07,112
1998-09-14,114
1998-09-21,127
1998-09-28,130
1998-10-05,132
1998-10-12,132
1998-10-19,140
1998-10-26,142
1998-11-02,154
1998-11-09,160
1998-11-16,159
1998-11-23,157
1998-11-30,157
1998-12-07,160
1998-12-14,161
1998-12-21,154
1998-12-28,143
1999-01-04,165
1999-01-11,153
1999-01-18,144
1999-01-25,137
1999-02-01,143
1999-02-08,131
1999-02-15,127
1999-02-22,124
1999-03-01,118
1999-03-08,98
1999-03-15,116
1999-03-22,108
1999-03-29,101
1999-04-05,96
1999-04-12,80
1999-04-19,82
1999-04-26,77
1999-05-03,70
1999-05-10,77
1999-05-17,60
1999-05-24,60
1999-05-31,61
1999-06-07,62
1999-06-14,50
1999-06-21,58
1999-06-28,65
1999-07-05,68
1999-07-12,55
1999-07-19,79
1999-07-26,76
1999-08-02,87
1999-08-09,83
1999-08-16,97
1999-08-23,103
1999-08-30,102
1999-09-06,124
1999-09-13,123
1999-09-20,126
1999-09-27,131
1999-10-04,136
1999-10-11,140
1999-10-18,139
1999-10-25,150
1999-11-01,150
1999-11-08,157
1999-11-15,169
1999-11-22,154
1999-11-29,165
1999-12-06,154
1999-12-13,154
1999-12-20,159
1999-12-27,159
1999-01-01,159
2000-01-03,167
2000-01-10,154
2000-01-17,154
2000-01-24,157
2000-01-31,153
2000-02-07,140
2000-02-14,141
2000-02-21,130
2000-02-28,121
2000-03-06,121
2000-03-13,118
2000-03-20,108
2000-03-27,89
2000-04-03,86
2000-04-10,82
2000-04-17,77
2000-04-24,73
2000-05-01,70
2000-05-08,69
2000-05-15,68
2000-05-22,64
2000-05-29,74
2000-06-05,60
2000-06-12,67
2000-06-19,57
2000-06-26,60
2000-07-03,69
2000-07-10,73
2000-07-17,74
2000-07-24,86
2000-07-31,83
2000-08-07,91
2000-08-14,93
2000-08-21,98
2000-08-28,102
2000-09-04,114
2000-09-11,117
2000-09-18,119
2000-09-25,133
2000-10-02,135
2000-10-09,140
2000-10-16,153
2000-10-23,160
2000-10-30,144
2000-11-06,162
2000-11-13,148
2000-11-20,165
2000-11-27,156
2000-12-04,169
2000-12-11,160
2000-12-18,164
2000-01-01,165
2001-01-01,159
2001-01-08,161
2001-01-15,151
2001-01-22,153
2001-01-29,153
2001-02-05,141
2001-02-12,131
2001-02-19,128
2001-02-26,130
2001-03-05,112
2001-03-12,114
2001-03-19,113
2001-03-26,111
2001-04-02,96
2001-04-09,96
2001-04-16,97
2001-04-23,78
2001-04-30,81
2001-05-07,75
2001-05-14,67
2001-05-21,71
2001-05-28,74
2001-06-04,70
2001-06-11,54
2001-06-18,57
2001-06-25,62
2001-07-02,74
2001-07-09,68
2001-07-16,74
2001-07-23,79
2001-07-30,84
2001-08-06,85
2001-08-13,98
2001-08-20,96
2001-08-27,96
2001-09-03,118
2001-09-10,116
2001-09-17,122
2001-09-24,129
2001-10-01,130
2001-10-08,144
2001-10-15,149
2001-10-22,150
2001-10-29,157
2001-11-05,157
2001-11-12,163
2001-11-19,167
2001-11-26,164
2001-12-03,166
2001-12-10,155
2001-12-17,168
2001-12-24,163
2002-01-01,169
2002-01-07,165
2002-01-14,159
2002-01-21,156
2002-01-28,144
2002-02-04,135
2002-02-11,151
2002-02-18,139
2002-02-25,133
2002-03-04,118
2002-03-11,115
2002-03-18,106
2002-03-25,103
2002-04-01,107
2002-04-08,106
2002-04-15,95
2002-04-22,78
2002-04-29,70
2002-05-06,79
2002-05-13,70
2002-05-20,77
2002-05-27,82
2002-06-03,66
2002-06-10,71
2002-06-17,67
2002-06-24,68
2002-07-01,68
2002-07-08,70
2002-07-15,69
2002-07-22,83
2002-07-29,93
2002-08-05,90
2002-08-12,90
2002-08-19,104
2002-08-26,112
2002-09-02,115
2002-09-09,122
2002-09-16,127
2002-09-23,127
2002-09-30,137
2002-10-07,143
2002-10-14,157
2002-10-21,159
2002-10-28,159
2002-11-04,159
2002-11-11,158
2002-11-18,155
2002-11-25,168
2002-12-02,161
2002-12-09,167
2002-12-16,169
2002-12-23,158
2003-01-01,168
2003-01-06,163
2003-01-13,157
2003-01-20,165
2003-01-27,152
2003-02-03,157
2003-02-10,141
2003-02-17,141
2003-02-24,137
2003-03-03,127
2003-03-10,126
2003-03-17,113
2003-03-24,109
2003-03-31,108
2003-04-07,97
2003-04-14,87
2003-04-21,86
2003-04-28,77
2003-05-05,83
2003-05-12,85
2003-05-19,76
2003-05-26,66
2003-06-02,57
2003-06-09,65
2003-06-16,67
2003-06-23,78
2003-06-30,69
2003-07-07,80
2003-07-14,82
2003-07-21,90
2003-07-28,91
2003-08-04,89
2003-08-11,97
2003-08-18,98
2003-08-25,116
2003-09-01,114
2003-09-08,114
2003-09-15,136
2003-09-22,135
2003-09-29,136
2003-10-06,150
2003-10-13,159
2003-10-20,157
2003-10-27,158
2003-11-03,169
2003-11-10,158
2003-11-17,168
2003-11-24,173
2003-12-01,171
2003-12-08,176
2003-12-15,171
2003-12-22,174
2004-01-01,158
2004-01-05,178
2004-01-12,168
2004-01-19,173
2004-01-26,155
2004-02-02,161
2004-02-09,146
2004-02-16,142
2004-02-23,138
2004-03-01,127
2004-03-08,122
2004-03-15,125
2004-03-22,108
2004-03-29,111
2004-04-05,96
2004-04-12,103
2004-04-19,97
2004-04-26,86
2004-05-03,82
2004-05-10,79
2004-05-17,71
2004-05-24,74
2004-05-31,70
2004-06-07,74
2004-06-14,78
2004-06-21,76
2004-06-28,77
2004-07-05,71
2004-07-12,87
2004-07-19,90
2004-07-26,90
2004-08-02,98
2004-08-09,95
2004-08-16,107
2004-08-23,111
2004-08-30,121
2004-09-06,120
2004-09-13,114
2004-09-20,136
2004-09-27,141
2004-10-04,144
2004-10-11,151
2004-10-18,156
2004-10-25,163
2004-11-01,166
2004-11-08,176
2004-11-15,170
2004-11-22,177
2004-11-29,163
2004-12-06,170
2004-12-13,175
2004-12-20,177
2004-12-27,168
2005-01-03,175
2005-01-10,166
2005-01-17,160
2005-01-24,156
2005-01-31,153
2005-02-07,145
2005-02-14,145
2005-02-21,141
2005-02-28,131
2005-03-07,126
2005-03-14,132
2005-03-21,126
2005-03-28,121
2005-04-04,115
2005-04-11,110
2005-04-18,101
2005-04-25,103
2005-05-02,79
2005-05-09,81
2005-05-16,79
2005-05-23,69
2005-05-30,79
2005-06-06,81
2005-06-13,74
2005-06-20,81
2005-06-27,71
2005-07-04,85
2005-07-11,67
2005-07-18,84
2005-07-25,93
2005-08-01,86
2005-08-08,107
2005-08-15,100
2005-08-22,112
2005-08-29,119
2005-09-05,126
2005-09-12,128
2005-09-19,130
2005-09-26,140
2005-10-03,149
2005-10-10,150
2005-10-17,157
2005-10-24,167
2005-10-31,166
2005-11-07,164
2005-11-14,176
2005-11-21,169
2005-11-28,177
2005-12-05,170
2005-12-12,183
2005-12-19,177
2005-12-26,177
2005-01-01,188
2006-01-02,181
2006-01-09,172
2006-01-16,182
2006-01-23,172
2006-01-30,156
2006-02-06,149
2006-02-13,148
2006-02-20,142
2006-02-27,140
2006-03-06,128
2006-03-13,129
2006-03-20,106
2006-03-27,112
2006-04-03,105
2006-04-10,111
2006-04-17,108
2006-04-24,95
2006-05-01,85
2006-05-08,69
2006-05-15,57
2006-05-22,62
2006-05-29,68
2006-06-05,71
2006-06-12,64
2006-06-19,69
2006-06-26,71
2006-07-03,58
2006-07-10,71
2006-07-17,72
2006-07-24,74
2006-07-31,79
2006-08-07,76
2006-08-14,99
2006-08-21,98
2006-08-28,104
2006-09-04,110
2006-09-11,108
2006-09-18,109
2006-09-25,121
2006-10-02,119
2006-10-09,125
2006-10-16,136
2006-10-23,137
2006-10-30,149
2006-11-06,133
2006-11-13,143
2006-11-20,140
2006-11-27,144
2006-12-04,142
2006-12-11,149
2006-12-18,139
2006-01-01,149
2007-01-01,139
2007-01-08,145
2007-01-15,141
2007-01-22,142
2007-01-29,129
2007-02-05,125
2007-02-12,132
2007-02-19,126
2007-02-26,115
2007-03-05,105
2007-03-12,116
2007-03-19,100
2007-03-26,107
2007-04-02,86
2007-04-09,94
2007-04-16,89
2007-04-23,81
2007-04-30,74
2007-05-07,76
2007-05-14,85
2007-05-21,54
2007-05-28,72
2007-06-04,67
2007-06-11,65
2007-06-18,67
2007-06-25,65
2007-07-02,61
2007-07-09,75
2007-07-16,77
2007-07-23,84
2007-07-30,84
2007-08-06,78
2007-08-13,95
2007-08-20,90
2007-08-27,102
2007-09-03,109
2007-09-10,110
2007-09-17,114
2007-09-24,114
2007-10-01,118
2007-10-08,125
2007-10-15,144
2007-10-22,128
2007-10-29,138
2007-11-05,133
2007-11-12,151
2007-11-19,152
2007-11-26,143
2007-12-03,158
2007-12-10,134
2007-12-17,144
2007-12-24,156
2008-01-01,140
2008-01-07,144
2008-01-14,153
2008-01-21,133
2008-01-28,125
2008-02-04,131
2008-02-11,126
2008-02-18,126
2008-02-25,116
2008-03-03,114
2008-03-10,94
2008-03-17,101
2008-03-24,103
2008-03-31,100
2008-04-07,88
2008-04-14,92
2008-04-21,93
2008-04-28,85
2008-05-05,75
2008-05-12,70
2008-05-19,71
2008-05-26,61
2008-06-02,66
2008-06-09,82
2008-06-16,81
2008-06-23,77
2008-06-30,69
2008-07-07,82
2008-07-14,90
2008-07-21,88
2008-07-28,85
2008-08-04,84
2008-08-11,99
2008-08-18,98
2008-08-25,109
2008-09-01,104
2008-09-08,119
2008-09-15,106
2008-09-22,122
2008-09-29,131
2008-10-06,133
2008-10-13,134
2008-10-20,138
2008-10-27,136
2008-11-03,145
2008-11-10,140
2008-11-17,152
2008-11-24,147
2008-12-01,148
2008-12-08,142
2008-12-15,148
2008-12-22,150
2009-01-01,141
2009-01-05,149
2009-01-12,138
2009-01-19,148
2009-01-26,140
2009-02-02,138
2009-02-09,135
2009-02-16,118
2009-02-23,125
2009-03-02,113
2009-03-09,102
2009-03-16,106
2009-03-23,93
2009-03-30,100
2009-04-06,95
2009-04-13,78
2009-04-20,85
2009-04-27,86
2009-05-04,70
2009-05-11,77
2009-05-18,78
2009-05-25,68
2009-06-01,76
2009-06-08,78
2009-06-15,78
2009-06-22,83
2009-06-29,79
2009-07-06,76
2009-07-13,86
2009-07-20,90
2009-07-27,85
2009-08-03,98
2009-08-10,96
2009-08-17,100
2009-08-24,102
2009-08-31,105
