city,date,weather_satisfaction,air_quality_satisfaction
Karachi,1982-09-25,7,5
Karachi,1982-09-29,4,7
Karachi,1982-10-10,5,6
Karachi,1982-10-15,7,8
Karachi,1982-10-22,5,5
Karachi,1982-10-29,7,6
Karachi,1982-11-08,10,5
Karachi,1982-11-12,7,6
Karachi,1982-11-18,7,6
Karachi,1982-11-23,7,7
Karachi,1982-12-04,8,8
Karachi,1982-12-10,7,1
Karachi,1982-12-17,6,6
Karachi,1982-12-25,8,6
Karachi,1983-01-03,8,6
Karachi,1983-01-04,9,5
Karachi,1983-01-14,9,8
Karachi,1983-01-20,6,5
Karachi,1983-01-25,6,5
Karachi,1983-02-03,10,7
Karachi,1983-02-10,9,9
Karachi,1983-02-19,7,7
Karachi,1983-02-28,5,10
Karachi,1983-03-03,8,8
Karachi,1983-03-14,7,7
Karachi,1983-03-16,5,5
Karachi,1983-03-28,7,5
Karachi,1983-04-02,4,6
Karachi,1983-04-08,7,5
Karachi,1983-04-12,6,6
Karachi,1983-04-20,7,6
Karachi,1983-04-29,6,8
Karachi,1983-05-03,6,7
Karachi,1983-05-16,6,6
Karachi,1983-05-21,4,6
Karachi,1983-05-27,6,5
Karachi,1983-06-04,6,6
Karachi,1983-06-08,4,8
Karachi,1983-06-16,5,5
Karachi,1983-06-21,4,4
Karachi,1983-07-04,4,5
Karachi,1983-07-07,4,6
Karachi,1983-07-17,5,7
Karachi,1983-07-22,4,6
Karachi,1983-07-26,4,8
Karachi,1983-08-03,2,7
Karachi,1983-08-12,6,7
Karachi,1983-08-18,4,5
Karachi,1983-08-25,5,6
Karachi,1983-09-01,6,5
Karachi,1983-09-12,7,4
Karachi,1983-09-15,5,5
Karachi,1983-09-25,4,5
Karachi,1983-09-30,5,6
Karachi,1983-10-09,5,6
Karachi,1983-10-17,6,5
Karachi,1983-10-22,5,5
Karachi,1983-10-26,6,5
Karachi,1983-11-02,7,5
Karachi,1983-11-13,9,7
Karachi,1983-11-15,5,8
Karachi,1983-11-24,7,6
Karachi,1983-12-02,9,8
Karachi,1983-12-12,8,5
Karachi,1983-12-18,6,7
Karachi,1983-12-22,4,5
Karachi,1984-01-01,10,7
Karachi,1984-01-07,10,7
Karachi,1984-01-15,8,7
Karachi,1984-01-22,9,9
Karachi,1984-01-25,8,7
Karachi,1984-02-06,10,6
Karachi,1984-02-11,10,6
Karachi,1984-02-15,9,10
Karachi,1984-02-23,8,8
Karachi,1984-03-03,7,6
Karachi,1984-03-07,7,7
Karachi,1984-03-13,1,6
Karachi,1984-03-25,8,9
Karachi,1984-04-01,3,5
Karachi,1984-04-09,7,6
Karachi,1984-04-14,7,6
Karachi,1984-04-19,7,6
Karachi,1984-04-27,8,7
Karachi,1984-05-03,4,8
Karachi,1984-05-13,6,6
Karachi,1984-05-20,4,6
Karachi,1984-05-23,5,8
Karachi,1984-06-04,3,7
Karachi,1984-06-10,5,5
Karachi,1984-06-18,5,5
Karachi,1984-06-25,3,7
Karachi,1984-06-26,4,6
Karachi,1984-07-09,2,6
Karachi,1984-07-15,6,6
Karachi,1984-07-20,5,6
Karachi,1984-07-28,4,5
Karachi,1984-08-05,2,7
Karachi,1984-08-13,6,5
Karachi,1984-08-17,3,6
Karachi,1984-08-23,5,6
Karachi,1984-09-01,4,6
Karachi,1984-09-08,4,7
Karachi,1984-09-13,5,6
Karachi,1984-09-20,6,7
Karachi,1984-09-25,5,7
Karachi,1984-10-02,5,6
Karachi,1984-10-13,8,7
Karachi,1984-10-22,3,5
Karachi,1984-10-23,6,6
Karachi,1984-11-03,7,6
Karachi,1984-11-06,6,7
Karachi,1984-11-17,9,6
Karachi,1984-11-21,7,4
Karachi,1984-12-03,8,7
Karachi,1984-12-08,8,7
Karachi,1984-12-13,7,4
Karachi,1984-12-24,8,7
Karachi,1984-12-26,7,5
Karachi,1985-01-02,8,9
Karachi,1985-01-12,7,7
Karachi,1985-01-19,8,7
Karachi,1985-01-27,9,6
Karachi,1985-02-03,10,8
Karachi,1985-02-10,8,6
Karachi,1985-02-13,7,7
Karachi,1985-02-19,9,6
Karachi,1985-03-03,7,7
Karachi,1985-03-05,7,8
Karachi,1985-03-15,8,9
Karachi,1985-03-24,8,10
Karachi,1985-03-28,4,7
Karachi,1985-04-05,7,6
Karachi,1985-04-12,4,6
Karachi,1985-04-18,5,5
Karachi,1985-04-28,6,7
Karachi,1985-05-05,4,7
Karachi,1985-05-10,3,4
Karachi,1985-05-16,5,5
Karachi,1985-05-22,6,8
Karachi,1985-05-28,5,5
Karachi,1985-06-08,10,5
Karachi,1985-06-11,5,3
Karachi,1985-06-22,5,7
Karachi,1985-06-28,1,8
Karachi,1985-07-08,4,5
Karachi,1985-07-11,5,5
Karachi,1985-07-20,4,7
Karachi,1985-07-23,4,1
Karachi,1985-07-31,3,7
Karachi,1985-08-10,3,5
Karachi,1985-08-15,4,5
Karachi,1985-08-24,4,6
Karachi,1985-08-27,3,6
Karachi,1985-09-03,4,5
Karachi,1985-09-13,1,7
Karachi,1985-09-18,5,6
Karachi,1985-09-27,3,5
Karachi,1985-10-02,6,7
Karachi,1985-10-14,7,6
Karachi,1985-10-17,7,5
Karachi,1985-10-22,5,5
Karachi,1985-11-04,8,7
Karachi,1985-11-07,5,8
Karachi,1985-11-16,7,7
Karachi,1985-11-19,7,6
Karachi,1985-11-30,7,5
Karachi,1985-12-09,5,7
Karachi,1985-12-15,8,8
Karachi,1985-12-21,9,8
Karachi,1985-12-24,8,6
Karachi,1986-01-03,8,9
Karachi,1986-01-07,8,8
Karachi,1986-01-14,10,6
Karachi,1986-01-26,8,7
Karachi,1986-01-28,6,7
Karachi,1986-02-05,8,7
Karachi,1986-02-17,8,7
Karachi,1986-02-24,9,8
Karachi,1986-02-25,8,9
Karachi,1986-03-04,5,7
Karachi,1986-03-11,7,8
Karachi,1986-03-21,8,8
Karachi,1986-03-27,6,6
Karachi,1986-04-04,7,7
Karachi,1986-04-13,6,6
Karachi,1986-04-17,6,7
Karachi,1986-04-26,6,6
Karachi,1986-05-04,3,5
Karachi,1986-05-09,4,5
Karachi,1986-05-19,4,5
Karachi,1986-05-23,6,6
Karachi,1986-05-28,5,7
Karachi,1986-06-07,7,5
Karachi,1986-06-14,4,6
Karachi,1986-06-20,6,6
Karachi,1986-06-27,2,6
Karachi,1986-07-04,3,10
Karachi,1986-07-09,5,7
Karachi,1986-07-16,1,6
Karachi,1986-07-25,5,8
Karachi,1986-08-03,4,4
Karachi,1986-08-05,3,7
Karachi,1986-08-18,3,6
Karachi,1986-08-22,2,6
Karachi,1986-08-30,3,5
Karachi,1986-09-08,6,6
Karachi,1986-09-09,4,7
Karachi,1986-09-20,5,1
Karachi,1986-09-28,5,5
Karachi,1986-10-02,3,5
Karachi,1986-10-13,6,7
Karachi,1986-10-19,9,6
Karachi,1986-10-21,4,6
Karachi,1986-11-01,7,6
Karachi,1986-11-09,6,6
Karachi,1986-11-11,8,6
Karachi,1986-11-24,8,7
Karachi,1986-11-26,8,4
Karachi,1986-12-04,9,7
Karachi,1986-12-10,9,7
Karachi,1986-12-21,10,6
Karachi,1986-12-26,10,9
Karachi,1987-01-01,7,8
Karachi,1987-01-06,5,8
Karachi,1987-01-16,9,7
Karachi,1987-01-20,9,9
Karachi,1987-01-29,8,8
Karachi,1987-02-03,9,6
Karachi,1987-02-13,8,6
Karachi,1987-02-19,10,7
Karachi,1987-03-02,7,6
Karachi,1987-03-05,7,6
Karachi,1987-03-12,8,6
Karachi,1987-03-19,6,6
Karachi,1987-03-27,7,8
Karachi,1987-04-04,6,5
Karachi,1987-04-10,6,7
Karachi,1987-04-19,5,6
Karachi,1987-04-22,8,6
Karachi,1987-04-30,10,5
Karachi,1987-05-11,4,5
Karachi,1987-05-16,2,3
Karachi,1987-05-24,5,7
Karachi,1987-05-28,4,5
Karachi,1987-06-05,2,5
Karachi,1987-06-15,3,7
Karachi,1987-06-18,6,5
Karachi,1987-06-23,4,5
Karachi,1987-06-30,4,8
Karachi,1987-07-11,4,5
Karachi,1987-07-19,2,6
Karachi,1987-07-21,3,8
Karachi,1987-08-03,4,7
Karachi,1987-08-04,4,7
Karachi,1987-08-16,4,6
Karachi,1987-08-18,2,9
Karachi,1987-08-26,4,6
Karachi,1987-09-07,7,7
Karachi,1987-09-12,4,6
Karachi,1987-09-16,5,6
Karachi,1987-09-24,6,4
Karachi,1987-10-05,10,6
Karachi,1987-10-07,5,7
Karachi,1987-10-19,5,6
Karachi,1987-10-22,5,5
Karachi,1987-10-29,5,5
Karachi,1987-11-04,7,6
Karachi,1987-11-16,9,6
Karachi,1987-11-17,8,7
Karachi,1987-11-30,7,4
Karachi,1987-12-04,8,8
Karachi,1987-12-11,7,7
Karachi,1987-12-16,9,7
Karachi,1987-12-25,6,7
Karachi,1988-01-03,9,5
Karachi,1988-01-05,8,8
Karachi,1988-01-12,8,7
Karachi,1988-01-19,10,8
Karachi,1988-01-28,7,7
Karachi,1988-02-07,7,7
Karachi,1988-02-11,10,8
Karachi,1988-02-18,9,9
Karachi,1988-02-23,6,8
Karachi,1988-03-01,6,6
Karachi,1988-03-08,8,7
Karachi,1988-03-16,6,8
Karachi,1988-03-22,5,7
Karachi,1988-04-03,6,7
Karachi,1988-04-07,8,5
Karachi,1988-04-13,8,6
Karachi,1988-04-23,6,6
Karachi,1988-05-02,4,8
Karachi,1988-05-09,5,4
Karachi,1988-05-14,6,7
Karachi,1988-05-22,6,5
Karachi,1988-05-25,6,5
Karachi,1988-05-31,7,7
Karachi,1988-06-11,6,1
Karachi,1988-06-14,3,6
Karachi,1988-06-21,4,7
Karachi,1988-06-30,4,6
Karachi,1988-07-09,5,7
Karachi,1988-07-16,5,6
Karachi,1988-07-20,6,5
Karachi,1988-07-28,2,8
Karachi,1988-08-04,2,1
Karachi,1988-08-12,2,6
Karachi,1988-08-17,3,7
Karachi,1988-08-24,4,8
Karachi,1988-09-04,4,5
Karachi,1988-09-06,6,5
Karachi,1988-09-17,5,7
Karachi,1988-09-22,5,6
Karachi,1988-10-02,5,7
Karachi,1988-10-09,6,6
Karachi,1988-10-11,7,5
Karachi,1988-10-19,6,7
Karachi,1988-10-28,6,10
Karachi,1988-11-07,7,6
Karachi,1988-11-09,6,6
Karachi,1988-11-18,8,7
Karachi,1988-11-23,7,5
Karachi,1988-12-03,9,7
Karachi,1988-12-11,8,7
Karachi,1988-12-17,9,7
Karachi,1988-12-22,7,8
Karachi,1988-12-31,9,8
Karachi,1989-01-07,7,6
Karachi,1989-01-14,9,7
Karachi,1989-01-18,7,6
Karachi,1989-01-24,9,5
Karachi,1989-02-02,7,10
Karachi,1989-02-07,9,10
Karachi,1989-02-18,10,9
Karachi,1989-02-21,9,9
Karachi,1989-03-01,8,6
Karachi,1989-03-07,6,9
Karachi,1989-03-15,7,7
Karachi,1989-03-26,9,6
Karachi,1989-03-28,7,7
Karachi,1989-04-10,5,8
Karachi,1989-04-14,8,5
Karachi,1989-04-24,6,7
Karachi,1989-04-28,4,6
Karachi,1989-05-06,10,6
Karachi,1989-05-15,3,5
Karachi,1989-05-20,5,6
Karachi,1989-05-26,5,3
Karachi,1989-06-02,3,7
Karachi,1989-06-06,4,5
Karachi,1989-06-17,2,4
Karachi,1989-06-22,4,9
Karachi,1989-07-01,4,4
Karachi,1989-07-04,3,8
Karachi,1989-07-15,4,7
Karachi,1989-07-22,5,6
Karachi,1989-07-25,5,6
Karachi,1989-08-02,5,7
Karachi,1989-08-12,3,7
Karachi,1989-08-19,2,6
Karachi,1989-08-25,3,7
Karachi,1989-08-30,3,7
Karachi,1989-09-08,3,5
Karachi,1989-09-12,6,6
Karachi,1989-09-25,4,4
Karachi,1989-09-27,6,4
Karachi,1989-10-06,5,5
Karachi,1989-10-10,4,6
Karachi,1989-10-21,4,4
Karachi,1989-10-26,6,7
Karachi,1989-11-02,6,5
Karachi,1989-11-10,9,5
Karachi,1989-11-20,7,8
Karachi,1989-11-25,6,7
Karachi,1989-12-01,9,7
Karachi,1989-12-08,7,7
Karachi,1989-12-18,7,6
Karachi,1989-12-22,9,7
Karachi,1989-12-28,7,5
Karachi,1990-01-04,8,8
Karachi,1990-01-11,7,8
Karachi,1990-01-19,9,6
Karachi,1990-01-29,8,6
Karachi,1990-02-05,9,5
Karachi,1990-02-12,6,7
Karachi,1990-02-17,7,7
Karachi,1990-02-23,8,5
Karachi,1990-02-28,10,6
Karachi,1990-03-08,7,5
Karachi,1990-03-13,8,7
Karachi,1990-03-26,3,1
Karachi,1990-03-31,6,1
Karachi,1990-04-07,7,7
Karachi,1990-04-10,6,7
Karachi,1990-04-22,6,5
Karachi,1990-04-28,5,5
Karachi,1990-05-04,5,5
Karachi,1990-05-14,3,5
Karachi,1990-05-17,6,6
Karachi,1990-05-27,6,5
Karachi,1990-06-04,3,5
Karachi,1990-06-06,3,6
Karachi,1990-06-17,4,8
Karachi,1990-06-23,4,6
Karachi,1990-07-01,4,5
Karachi,1990-07-07,3,7
Karachi,1990-07-13,3,7
Karachi,1990-07-19,3,3
Karachi,1990-07-27,4,7
Karachi,1990-08-05,4,6
Karachi,1990-08-12,4,4
Karachi,1990-08-15,4,6
Karachi,1990-08-24,2,6
Karachi,1990-09-03,6,3
Karachi,1990-09-07,5,7
Karachi,1990-09-17,5,6
Karachi,1990-09-22,5,6
Karachi,1990-09-28,4,7
Karachi,1990-10-06,8,8
Karachi,1990-10-13,4,7
Karachi,1990-10-20,7,6
Karachi,1990-10-29,4,7
Karachi,1990-11-04,1,7
Karachi,1990-11-08,6,5
Karachi,1990-11-13,7,6
Karachi,1990-11-24,7,7
Karachi,1990-12-01,8,7
Karachi,1990-12-04,7,7
Karachi,1990-12-13,9,8
Karachi,1990-12-20,7,7
Karachi,1990-12-30,7,6
Karachi,1991-01-04,7,3
Karachi,1991-01-08,7,6
Karachi,1991-01-20,8,6
Karachi,1991-01-28,8,8
Karachi,1991-02-02,10,6
Karachi,1991-02-10,8,6
Karachi,1991-02-15,9,6
Karachi,1991-02-25,8,7
Karachi,1991-03-02,7,8
Karachi,1991-03-06,6,7
Karachi,1991-03-17,5,1
Karachi,1991-03-21,1,7
Karachi,1991-03-31,8,8
Karachi,1991-04-06,5,6
Karachi,1991-04-09,4,7
Karachi,1991-04-19,6,7
Karachi,1991-04-28,5,7
Karachi,1991-05-06,4,4
Karachi,1991-05-13,4,8
Karachi,1991-05-15,6,6
Karachi,1991-05-26,7,6
Karachi,1991-06-03,4,5
Karachi,1991-06-05,4,8
Karachi,1991-06-12,2,8
Karachi,1991-06-24,2,8
Karachi,1991-07-01,5,8
Karachi,1991-07-04,3,8
Karachi,1991-07-14,5,7
Karachi,1991-07-19,3,7
Karachi,1991-07-26,5,7
Karachi,1991-08-02,4,7
Karachi,1991-08-10,2,5
Karachi,1991-08-18,4,7
Karachi,1991-08-24,1,6
Karachi,1991-08-29,2,6
Karachi,1991-09-08,5,6
Karachi,1991-09-12,6,6
Karachi,1991-09-17,4,9
Karachi,1991-09-25,6,7
Karachi,1991-10-05,4,6
Karachi,1991-10-09,10,4
Karachi,1991-10-19,9,7
Karachi,1991-10-25,10,7
Karachi,1991-10-29,5,6
Karachi,1991-11-05,6,7
Karachi,1991-11-15,7,3
Karachi,1991-11-22,6,6
Karachi,1991-11-29,6,7
Karachi,1991-12-05,7,6
Karachi,1991-12-14,8,6
Karachi,1991-12-17,7,7
Karachi,1991-12-24,1,6
Karachi,1992-01-01,6,9
Karachi,1992-01-11,9,7
Karachi,1992-01-19,6,6
Karachi,1992-01-27,8,5
Karachi,1992-01-31,6,8
Karachi,1992-02-05,6,5
Karachi,1992-02-11,6,8
Karachi,1992-02-22,8,8
Karachi,1992-03-01,6,6
Karachi,1992-03-07,8,8
Karachi,1992-03-13,7,9
Karachi,1992-03-22,5,8
Karachi,1992-03-27,9,8
Karachi,1992-03-31,6,7
Karachi,1992-04-09,7,4
Karachi,1992-04-14,8,7
Karachi,1992-04-22,4,8
Karachi,1992-05-03,2,5
Karachi,1992-05-05,7,5
Karachi,1992-05-16,6,6
Karachi,1992-05-25,5,5
Karachi,1992-05-28,6,7
Karachi,1992-06-06,4,5
Karachi,1992-06-10,3,6
Karachi,1992-06-18,3,5
Karachi,1992-06-24,3,6
Karachi,1992-07-02,3,7
Karachi,1992-07-13,4,8
Karachi,1992-07-19,1,7
Karachi,1992-07-26,3,5
Karachi,1992-08-02,5,9
Karachi,1992-08-04,3,5
Karachi,1992-08-15,4,4
Karachi,1992-08-18,4,6
Karachi,1992-08-28,3,6
Karachi,1992-09-07,6,4
Karachi,1992-09-14,5,7
Karachi,1992-09-17,6,6
Karachi,1992-09-25,5,7
Karachi,1992-10-05,5,7
Karachi,1992-10-07,7,8
Karachi,1992-10-13,3,6
Karachi,1992-10-24,6,5
Karachi,1992-10-29,6,7
Karachi,1992-11-08,7,5
Karachi,1992-11-16,7,6
Karachi,1992-11-21,7,4
Karachi,1992-11-30,6,4
Karachi,1992-12-07,8,9
Karachi,1992-12-11,10,9
Karachi,1992-12-15,7,9
Karachi,1992-12-22,6,9
Karachi,1993-01-01,9,8
Karachi,1993-01-07,6,6
Karachi,1993-01-13,7,6
Karachi,1993-01-25,8,7
Karachi,1993-01-29,7,8
Karachi,1993-02-04,10,8
Karachi,1993-02-15,9,6
Karachi,1993-02-18,8,6
Karachi,1993-03-01,5,6
Karachi,1993-03-03,8,7
Karachi,1993-03-12,8,7
Karachi,1993-03-18,6,6
Karachi,1993-03-24,5,8
Karachi,1993-04-05,4,6
Karachi,1993-04-09,4,7
Karachi,1993-04-17,7,4
Karachi,1993-04-26,5,5
Karachi,1993-05-03,3,5
Karachi,1993-05-07,5,5
Karachi,1993-05-15,6,5
Karachi,1993-05-22,3,6
Karachi,1993-05-26,3,6
Karachi,1993-06-03,1,6
Karachi,1993-06-13,2,7
Karachi,1993-06-16,4,6
Karachi,1993-06-26,3,6
Karachi,1993-07-04,5,6
Karachi,1993-07-11,5,6
Karachi,1993-07-14,5,5
Karachi,1993-07-21,4,6
Karachi,1993-07-28,3,7
Karachi,1993-08-06,4,3
Karachi,1993-08-15,3,3
Karachi,1993-08-21,6,6
Karachi,1993-08-24,3,6
Karachi,1993-09-05,4,7
Karachi,1993-09-08,5,6
Karachi,1993-09-19,6,6
Karachi,1993-09-21,4,6
Karachi,1993-09-28,5,4
Karachi,1993-10-09,7,4
Karachi,1993-10-13,5,6
Karachi,1993-10-22,6,3
Karachi,1993-10-28,5,6
Karachi,1993-11-05,5,5
Karachi,1993-11-15,6,7
Karachi,1993-11-17,4,6
Karachi,1993-11-29,8,10
Karachi,1993-12-01,8,6
Karachi,1993-12-08,6,7
Karachi,1993-12-15,9,6
Karachi,1993-12-27,10,7
Karachi,1994-01-01,6,10
Karachi,1994-01-06,7,8
Karachi,1994-01-16,9,6
Karachi,1994-01-24,9,8
Karachi,1994-01-26,7,5
Karachi,1994-02-04,8,7
Karachi,1994-02-09,8,10
Karachi,1994-02-18,7,5
Karachi,1994-02-22,8,9
Karachi,1994-03-01,6,7
Karachi,1994-03-10,9,8
Karachi,1994-03-19,8,8
Karachi,1994-03-27,6,7
Karachi,1994-03-29,8,6
Karachi,1994-04-07,5,6
Karachi,1994-04-15,8,6
Karachi,1994-04-20,5,6
Karachi,1994-05-02,4,6
Karachi,1994-05-08,4,7
Karachi,1994-05-15,3,5
Karachi,1994-05-22,5,7
Karachi,1994-05-30,5,6
Karachi,1994-06-05,2,6
Karachi,1994-06-13,3,4
Karachi,1994-06-16,3,5
Karachi,1994-06-26,2,8
Karachi,1994-06-29,3,7
Karachi,1994-07-05,4,6
Karachi,1994-07-18,6,7
Karachi,1994-07-25,5,7
Karachi,1994-07-27,1,7
Karachi,1994-08-03,5,7
Karachi,1994-08-10,2,10
Karachi,1994-08-20,3,7
Karachi,1994-08-26,4,5
Karachi,1994-09-04,5,6
Karachi,1994-09-07,3,7
Karachi,1994-09-15,6,6
Karachi,1994-09-24,4,5
Karachi,1994-10-03,4,5
Karachi,1994-10-08,6,7
Karachi,1994-10-15,5,6
Karachi,1994-10-21,6,7
Karachi,1994-10-25,6,7
Karachi,1994-11-03,7,8
Karachi,1994-11-12,6,6
Karachi,1994-11-19,5,6
Karachi,1994-11-26,5,6
Karachi,1994-12-03,8,7
Karachi,1994-12-10,8,5
Karachi,1994-12-18,9,10
Karachi,1994-12-26,10,7
Karachi,1995-01-02,8,5
Karachi,1995-01-08,9,6
Karachi,1995-01-16,8,9
Karachi,1995-01-19,7,5
Karachi,1995-01-25,8,6
Karachi,1995-02-01,6,6
Karachi,1995-02-08,10,7
Karachi,1995-02-18,9,8
Karachi,1995-02-24,8,5
Karachi,1995-03-06,6,6
Karachi,1995-03-13,7,7
Karachi,1995-03-14,6,6
Karachi,1995-03-24,8,8
Karachi,1995-03-28,7,9
Karachi,1995-04-09,8,6
Karachi,1995-04-17,3,4
Karachi,1995-04-18,6,5
Karachi,1995-04-28,5,5
Karachi,1995-05-05,4,4
Karachi,1995-05-10,4,7
Karachi,1995-05-22,5,6
Karachi,1995-05-29,5,7
Karachi,1995-05-31,5,6
Karachi,1995-06-08,2,4
Karachi,1995-06-13,1,6
Karachi,1995-06-20,10,6
Karachi,1995-07-03,4,7
Karachi,1995-07-09,7,4
Karachi,1995-07-11,1,5
Karachi,1995-07-18,1,6
Karachi,1995-07-25,4,6
Karachi,1995-08-03,1,7
Karachi,1995-08-10,4,8
Karachi,1995-08-21,2,7
Karachi,1995-08-22,2,6
Karachi,1995-09-03,4,8
Karachi,1995-09-09,7,5
Karachi,1995-09-14,5,5
Karachi,1995-09-21,6,6
Karachi,1995-09-28,5,6
Karachi,1995-10-07,5,7
Karachi,1995-10-11,5,8
Karachi,1995-10-18,4,6
Karachi,1995-10-28,8,6
Karachi,1995-11-04,6,6
Karachi,1995-11-08,8,7
Karachi,1995-11-16,6,4
Karachi,1995-11-22,8,6
Karachi,1995-11-29,7,7
Karachi,1995-12-10,9,7
Karachi,1995-12-16,7,6
Karachi,1995-12-25,9,7
Karachi,1995-12-30,10,9
Karachi,1996-01-07,6,6
Karachi,1996-01-14,7,6
Karachi,1996-01-19,6,6
Karachi,1996-01-29,7,6
Karachi,1996-02-05,9,7
Karachi,1996-02-06,7,7
Karachi,1996-02-15,10,9
Karachi,1996-02-25,9,8
Karachi,1996-03-04,8,5
Karachi,1996-03-08,7,6
Karachi,1996-03-18,7,7
Karachi,1996-03-25,6,7
Karachi,1996-03-29,7,7
Karachi,1996-04-04,5,5
Karachi,1996-04-09,6,6
Karachi,1996-04-21,4,7
Karachi,1996-04-26,6,4
Karachi,1996-05-01,3,1
Karachi,1996-05-08,5,5
Karachi,1996-05-18,4,8
Karachi,1996-05-27,4,7
Karachi,1996-05-30,4,6
Karachi,1996-06-09,3,6
Karachi,1996-06-14,6,7
Karachi,1996-06-22,3,7
Karachi,1996-06-26,3,7
Karachi,1996-07-04,3,6
Karachi,1996-07-12,2,5
Karachi,1996-07-21,5,7
Karachi,1996-07-26,3,6
Karachi,1996-07-30,5,6
Karachi,1996-08-10,2,5
Karachi,1996-08-18,4,6
Karachi,1996-08-24,2,7
Karachi,1996-08-29,3,7
Karachi,1996-09-06,4,6
Karachi,1996-09-13,6,10
